cluster,StockCode,Description,Quantity
0,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,5992
0,84879,ASSORTED COLOUR BIRD ORNAMENT,4739
0,15036,ASSORTED COLOURS SILK FAN,4280
0,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4125
0,85099B,JUMBO BAG RED RETROSPOT,3133
0,22178,VICTORIAN GLASS HANGING T-LIGHT,3120
0,16045,POPART WOODEN PENCILS ASST,3100
0,21326,AGED GLASS SILVER T-LIGHT HOLDER,3035
0,22492,MINI PAINT SET VINTAGE ,2916
0,21212,PACK OF 72 RETROSPOT CAKE CASES,2867
1,18007,ESSENTIAL BALM 3.5G TIN IN ENVELOPE,5676
1,84879,ASSORTED COLOUR BIRD ORNAMENT,5598
1,17003,BROCADE RING PURSE ,5037
1,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4616
1,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,4335
1,21212,PACK OF 72 RETROSPOT CAKE CASES,3663
1,16014,SMALL CHINESE STYLE SCISSOR,3643
1,85099B,JUMBO BAG RED RETROSPOT,3548
1,15036,ASSORTED COLOURS SILK FAN,2760
1,22492,MINI PAINT SET VINTAGE ,2556
2,22616,PACK OF 12 LONDON TISSUES ,15356
2,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,13264
2,85099B,JUMBO BAG RED RETROSPOT,11319
2,84879,ASSORTED COLOUR BIRD ORNAMENT,9821
2,16014,SMALL CHINESE STYLE SCISSOR,9234
2,22178,VICTORIAN GLASS HANGING T-LIGHT,8135
2,85123A,WHITE HANGING HEART T-LIGHT HOLDER,8037
2,21212,PACK OF 72 RETROSPOT CAKE CASES,7685
2,84568,GIRLS ALPHABET IRON ON PATCHES ,6720
2,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,6539
